"libraries"	"education"	"wage"
9	15.874573208695	16.7350557662497
5	11.4025710047907	10.8303772138682
4	12.2495651560243	15.3711001560951
8	15.3059967390913	18.1497318074175
4	12.5918750531663	17.7601673643137
5	12.8354502486713	13.789732870838
3	11.9082714789123	16.1696868172471
1	8.70654117258914	8.73068247995443
6	12.8192972655721	16.3399564366341
5	13.4892314123544	15.7838606949918
9	13.8681674847901	15.7742202277068
5	13.3802111681705	12.5941054338448
3	9.97312758423559	10.6561877765126
7	12.6231160793035	15.382156505542
3	11.2588146743641	13.500291635192
3	10.0261493404846	14.0365317291775
4	10.9100375951056	14.168442264552
7	14.2831606995839	15.1121927458422
3	10.9768186217298	10.3883540827112
7	13.7341370383496	18.5146966434814
2	11.4753875807608	16.414130843617
3	11.1951837057023	13.5229127348886
9	14.3827357893284	18.589470870646
4	12.3231118199646	14.4104482869429
1	13.0067806813009	19.2169324029816
7	13.0776646536765	13.3565328258218
3	13.2779705099682	12.9321539571807
2	10.5345971641829	14.639510905167
6	13.7560175783358	17.2881810559493
8	13.0871997421495	14.8289755013485
2	13.1993065060827	14.7431777363006
5	12.5454084204073	14.2479662315337
3	11.5617016974362	13.6231649899781
7	15.8700331852496	21.5845915830476
9	14.8443041715885	17.4766350197134
1	7.9654512732856	9.52755025236131
4	12.0656717892011	14.2740435060676
5	12.5014743538262	15.8121919056417
0	9.34566446938722	10.4587004263784
5	11.2636972868456	12.160041173479
7	14.3929385351639	17.1555720915789
2	10.1443309733435	12.1531050623824
5	11.7556447934563	13.3252755273326
0	9.51723141340236	12.6234574985414
0	8.17587681822002	8.72471758049129
8	12.8521083895592	15.6767579947205
7	13.0151786390833	14.6811542854644
9	15.1510704588422	15.1906168073299
0	8.8819449379355	12.2193626197617
7	11.6381621000638	14.6569397984277
9	12.2543063242028	13.4813244913262
5	12.7560498649325	16.7491132019086
2	10.1586078030713	13.3521990182227
8	14.4088915506452	14.8401285172288
2	10.2607851226135	9.68280486784689
5	13.0789200424348	14.4422739706299
8	11.8620997439361	11.7428251015112
9	14.236514486242	17.1827097241977
6	12.401889695852	15.8553548725046
5	11.6894855331611	13.1741791387368
7	16.0748794920281	19.2818028933203
8	13.5067587432734	15.2176345155282
2	10.9712373423844	14.7006614726847
2	9.62599617474245	9.73035088927062
1	9.22663609159876	10.7758039405102
4	12.2273189247485	14.5286818567028
7	13.5976171276403	17.6703938659714
9	14.9917903093475	16.2227510257877
6	12.134709533844	14.9359853130514
5	11.4685493334721	14.6876482975816
3	11.3966755629823	12.7098069913335
8	14.6621396649788	16.1163978578669
6	14.6742460812223	18.9480835699049
2	10.590029151136	14.098896153873
5	12.1591112286942	15.4702302382495
4	11.0702836348483	12.6125325623065
7	13.251589035762	13.6392588244179
0	8.34279617586058	14.1585542936799
3	10.3035865457702	12.6640894294025
6	13.3989138557878	16.6539090769024
2	10.9244275842993	16.2280224007099
8	14.8042660882772	17.118768065237
3	13.0237344611122	17.6135188452467
0	8.49500177119064	11.8856964915166
5	14.0092521391096	18.3522904948427
5	10.8934786236506	10.7429957079742
9	16.2085649000989	16.5188540578322
5	10.8626815568877	14.7784513061731
4	10.7978233382508	13.2222501165577
4	10.679350137962	13.4227322952448
0	10.0754653487221	10.1366000953979
1	8.29968651455641	11.5077112681319
5	13.0879783958646	14.1191391930403
9	13.6391967721051	16.367439007322
1	12.3277705891195	16.2104572401404
4	12.8969093085105	17.0112712870127
3	10.3061277194798	14.0625736864339
2	11.9350606833849	14.5863026280648
9	14.256210273156	12.9544665885911
3	13.0009589719448	15.448974195578
4	12.0042980618239	12.6202739516215
9	13.088850868877	14.566309477339
5	13.5029091314534	16.487387258839
5	12.2136655206305	13.488860175728
8	11.8676828223377	11.9332932605535
2	11.8568119544207	14.9011780906044
8	13.9861053932218	15.1442216143524
5	10.9179441934382	12.6615609444796
7	13.2191357347655	14.3214820728624
0	9.18865739912671	14.0272585381047
8	15.6986741264264	17.8296397057547
1	10.7176473534675	13.3012124531312
5	13.0356205069571	13.7644205629353
7	12.7752060128273	15.2025503063403
5	14.8564540348594	18.8829723093038
2	11.9590825125688	14.628092645333
6	12.9537578530242	15.4489319648459
4	14.2251386088638	17.7527163667994
5	12.4848333074073	16.1582442961593
6	12.8334378539783	15.7661402893313
2	10.5797267023901	12.1877005764778
2	12.1059275651682	17.6398875139658
6	14.0402422938547	16.034325928283
8	13.5738891629449	17.0227155033912
7	11.3831444253589	11.7565108258304
2	11.18057946689	11.9793235317868
9	13.7095398400505	17.0619343322702
5	12.5933707367758	13.2442998740585
6	10.2136455545093	12.2728092839806
1	11.333857991898	14.2090687268396
4	9.62969264830161	13.4999497946975
4	9.63593337520195	11.5882340624396
8	14.1652604694713	18.0848656683775
2	9.05138390029235	10.6815579396503
7	14.4495344521266	18.9787981506975
2	11.9230323259509	15.1886725021278
7	14.2981541131414	19.5343254521453
2	11.9370172627445	15.9219664643939
8	12.9054014944381	15.0445004591952
3	13.1138135645348	15.9136741405557
7	13.7060978696191	15.9517149052114
3	10.283990053853	13.0771162223992
2	12.275505962613	16.0623616435336
9	15.4914227095963	17.6786442055507
6	11.3462969159579	13.7810824867365
0	9.31666388944377	13.3420289662731
8	11.478851681186	12.9854756722655
2	12.1222841450592	13.7260672133052
1	10.9071764433625	13.2198927236825
4	10.9608030829314	14.3151529676306
9	14.3492188203492	15.4224339211492
5	14.3925345158445	17.913808808674
8	14.4551575685981	18.1264645319478
0	11.0387858746518	15.2073845753153
2	11.6668952755234	15.1395610079946
8	13.6731385120608	17.6148057880733
8	15.6046372456164	18.2088952769744
3	13.2800676033264	16.3349748411935
4	13.2435295796729	17.4600964826215
0	9.43474585957818	14.7747886611929
2	9.56933862228362	10.6146822359006
5	12.0800513772677	13.4645331819014
4	11.1886627127242	14.497410813729
5	12.4472056561206	14.3500293598738
1	10.5539352886723	14.9434825259318
2	9.95054398809184	14.1800679142723
1	11.6105093110582	12.8500746358286
6	12.9618831685073	13.5512682160795
5	12.2911542609165	13.2787524849168
6	13.731561698607	16.2937977840333
7	13.361589883896	13.6355800742211
3	13.2755031007402	16.282638925289
0	11.0419856428504	14.4701343215676
6	12.5172004070132	16.9587505399433
9	15.4352648022556	15.5204982282455
7	13.8292895067427	13.6694653576764
2	9.95941660968921	11.7652800180871
9	14.57660249145	15.3983502764115
1	10.2958485746472	13.1655621180274
7	13.5691254143999	14.6741979733615
0	9.11373280667304	11.1375658671385
7	14.5511615500485	17.3488784767079
7	11.6483215371847	15.0536232432801
5	12.7495251493738	16.4921594701868
9	12.8202890203246	13.5206926877986
4	11.4328790401568	13.6952046607328
3	12.3548477338736	15.0188054854247
9	15.1321914938901	16.3673114281903
3	11.494868827996	13.0931049099367
0	10.3496903811207	12.9280651603597
5	12.488968647301	15.0230840176219
5	12.2913462127277	16.5052949750556
2	10.5330766286589	15.754897183432
3	11.530400189294	14.4961983751379
3	13.380166637115	16.8565149051055
2	11.2195537553286	13.3171058726037
0	8.58984472264463	8.30447127584484
2	10.7765266934827	14.0324011421962
0	11.1774814233757	15.0545683370042
8	14.0534007361814	14.9028113978777
2	9.29514142281029	10.5108386920792
9	11.9726439857686	14.5034811051253
4	9.99728829162208	13.6123424156361
0	10.8022375211848	14.2833032466894
4	12.1919206820781	16.6520264243574
9	14.4594935179037	14.8037425182801
5	13.0300119382988	15.1197918308328
7	15.4857018539396	18.3569679150325
1	9.87041402875268	11.1122551648607
6	13.109433686032	15.9337220236956
1	11.3822116222828	16.9552093851046
7	12.5899200314504	12.3844869432309
5	12.9165188777181	13.8655309652117
8	14.0848077118296	16.7848131915141
4	12.9424442797013	16.1565578435976
5	14.5252661335949	16.4941445447427
4	11.2638458598446	11.8926114548652
8	16.1354229868491	19.9737872048497
3	12.2200997893288	14.5509580916965
3	10.7171689846994	11.2899098590334
0	9.99680025352533	13.5043216764915
0	8.82199943900579	13.400907849348
5	11.8609656841716	15.1234035462621
4	13.3596464899107	13.4109478530193
9	15.3470369325001	15.1683428638764
1	9.80510974833987	13.6925116533058
8	14.1770871796104	18.985010253488
1	13.8343943465129	20.1015328947339
2	10.2434290867559	10.75832713848
4	11.9745579887445	14.3988605698294
8	15.0736597376419	17.3547201258757
1	9.6081759218018	12.6745771470673
5	14.7403426940402	16.7002271531746
1	11.8039968424708	14.6540284788149
4	11.8563769595905	16.0829759337679
6	11.2562714689728	13.9767854068126
9	13.3491167643315	13.8374096024013
3	11.8242556123192	17.6141040155376
4	12.599209418536	15.8127274078714
8	11.3677634360617	12.6948390137956
6	12.7515828324199	14.2970632336489
5	11.8930682425501	14.0115840310385
5	11.8138351806597	16.2483699736456
3	12.3090306942279	15.3886364660051
8	16.1255928426595	17.1283170992206
1	9.838121852815	10.1726828523388
7	13.7220599328475	17.6486514014463
7	14.1771015711061	14.195889191261
4	9.41194710638123	8.51744291810722
2	11.3209390392573	14.145319377901
6	12.4583394953777	14.7476089409834
3	10.08719623036	10.4243206514262
5	11.8142799168698	10.7561002901101
4	12.9107079721309	16.6166138508397
3	11.427184170141	12.2031082399621
6	13.5809117475658	18.8610948597431
1	12.120248124477	15.6275329878599
9	14.2450163720888	16.9791942416004
3	11.9507451022017	14.4133684895953
1	10.2577835810958	13.242345376462
3	10.4356086462465	13.4063842675806
9	12.5152872257961	14.020817936601
1	11.3403619630266	16.2207215941987
0	10.0390856287408	13.2695327566639
3	12.2276735944616	16.0001968901758
5	12.1822438105792	13.7077203827145
9	14.9361818027059	17.2190002066247
7	12.6788274772157	14.0313164005391
2	10.4041060380355	15.1061023581446
8	13.1359951490157	14.3894718429192
6	11.9967884724795	12.2054088490923
